Gender,Marital Status,State or Province,Product Category
F,S,OR,Snack Foods
M,S,WA,Jams and Jellies
F,M,CA,Meat
M,S,WA,Hygiene
M,M,OR,Snack Foods
F,M,OR,Vegetables
F,M,WA,Meat
F,M,WA,Breakfast Foods
M,S,WA,Beer and Wine
M,M,OR,Baking Goods
M,M,WA,Jams and Jellies
M,S,WA,Canned Tuna
F,M,CA,Meat
F,M,OR,Baking Goods
M,M,WA,Breakfast Foods
M,S,CA,Dairy
F,S,CA,Vegetables
M,M,CA,Starchy Foods
F,S,OR,Vegetables
M,S,OR,Kitchen Products
F,S,WA,Snack Foods
M,S,OR,Pizza
F,M,WA,Dairy
F,S,WA,Breakfast Foods
F,S,OR,Vegetables
F,S,OR,Baking Goods
F,M,OR,Canned Tuna
F,M,WA,Dairy
M,M,WA,Candy
F,S,CA,Fruit
F,S,CA,Paper Products
M,S,OR,Bread
F,S,OR,Snack Foods
F,S,OR,Beer and Wine
F,M,WA,Bathroom Products
F,M,WA,Vegetables
F,M,WA,Starchy Foods
M,S,WA,Electrical
F,M,CA,Snack Foods
F,S,WA,Frozen Desserts
M,M,WA,Snack Foods
M,M,CA,Dairy
F,S,CA,Vegetables
M,M,OR,Snack Foods
F,M,OR,Pizza
M,M,WA,Fruit
F,S,WA,Snack Foods
F,M,WA,Snack Foods
M,S,WA,Fruit
M,S,WA,Frozen Desserts
M,S,WA,Dairy
F,S,OR,Frozen Desserts
M,M,CA,Bread
F,S,CA,Dairy
M,M,OR,Cleaning Supplies
F,S,WA,Starchy Foods
M,M,WA,Pizza
F,M,WA,Snack Foods
M,S,WA,Decongestants
M,M,WA,Jams and Jellies
M,S,WA,Jams and Jellies
M,S,WA,Snack Foods
F,M,WA,Jams and Jellies
F,S,WA,Vegetables
M,M,WA,Bathroom Products
M,M,OR,Candy
F,S,CA,Specialty
F,S,OR,Meat
F,S,CA,Vegetables
F,S,OR,Pizza
M,S,CA,Frozen Desserts
M,S,WA,Bread
F,S,OR,Beer and Wine
F,M,OR,Side Dishes
F,S,WA,Snack Foods
F,S,WA,Snack Foods
F,M,OR,Hygiene
F,S,WA,Carbonated Beverages
F,M,WA,Snack Foods
F,M,OR,Meat
M,M,WA,Cleaning Supplies
M,M,OR,Meat
M,M,OR,Meat
F,M,OR,Vegetables
F,M,CA,Side Dishes
F,S,WA,Jams and Jellies
M,S,WA,Vegetables
M,S,CA,Meat
F,M,CA,Vegetables
F,M,WA,Frozen Desserts
M,M,OR,Cleaning Supplies
M,S,WA,Baking Goods
F,S,WA,Plastic Products
F,M,CA,Canned Sardines
F,M,CA,Meat
M,S,OR,Decongestants
M,M,CA,Meat
F,M,WA,Snack Foods
F,S,OR,Electrical
M,S,OR,Vegetables
F,S,WA,Vegetables
F,M,WA,Canned Tuna
M,M,CA,Bathroom Products
F,S,OR,Fruit
M,M,OR,Vegetables
F,S,CA,Kitchen Products
F,S,WA,Snack Foods
F,M,WA,Canned Sardines
F,M,WA,Paper Products
M,M,OR,Vegetables
F,M,CA,Carbonated Beverages
M,S,WA,Baking Goods
F,M,CA,Baking Goods
M,S,WA,Snack Foods
M,M,OR,Dairy
F,S,OR,Canned Soup
F,M,WA,Fruit
F,M,WA,Meat
M,M,CA,Carbonated Beverages
F,S,OR,Specialty
F,S,WA,Kitchen Products
F,M,CA,Eggs
F,M,WA,Vegetables
F,M,WA,Frozen Desserts
F,M,OR,Baking Goods
F,M,OR,Beer and Wine
F,M,WA,Dairy
F,M,WA,Canned Soup
M,M,OR,Vegetables
F,S,WA,Baking Goods
M,S,CA,Meat
F,S,WA,Baking Goods
F,S,CA,Pizza
F,S,WA,Snack Foods
F,S,CA,Bread
F,M,OR,Starchy Foods
F,M,OR,Meat
F,S,OR,Pure Juice Beverages
F,S,WA,Meat
M,M,OR,Vegetables
F,S,OR,Cleaning Supplies
M,M,WA,Decongestants
M,M,OR,Vegetables
M,M,WA,Frozen Desserts
M,S,WA,Jams and Jellies
M,M,CA,Breakfast Foods
F,S,WA,Hot Beverages
F,S,WA,Side Dishes
F,M,CA,Beer and Wine
F,S,CA,Beer and Wine
M,S,WA,Magazines
F,S,WA,Vegetables
M,S,OR,Vegetables
F,S,CA,Bread
M,M,CA,Pure Juice Beverages
F,M,OR,Canned Oysters
M,M,CA,Breakfast Foods
F,S,OR,Snack Foods
F,S,OR,Beer and Wine
M,M,WA,Kitchen Products
F,S,OR,Meat
F,M,CA,Specialty
M,S,WA,Fruit
F,S,WA,Jams and Jellies
F,S,CA,Frozen Desserts
M,M,CA,Baking Goods
M,M,WA,Canned Soup
F,M,WA,Bread
M,M,OR,Starchy Foods
F,S,OR,Dairy
M,S,WA,Packaged Vegetables
F,S,WA,Snack Foods
M,M,WA,Breakfast Foods
F,M,OR,Electrical
M,S,WA,Fruit
M,M,WA,Kitchen Products
M,S,CA,Meat
M,S,CA,Beer and Wine
F,S,WA,Dairy
M,S,OR,Decongestants
M,M,CA,Beer and Wine
M,M,CA,Vegetables
M,S,WA,Canned Soup
M,M,WA,Vegetables
F,M,WA,Meat
M,M,WA,Bathroom Products
M,M,WA,Vegetables
F,M,CA,Canned Oysters
F,M,CA,Canned Soup
F,M,CA,Fruit
M,M,CA,Candy
M,S,OR,Meat
M,S,WA,Baking Goods
M,S,CA,Cleaning Supplies
M,M,WA,Fruit
F,M,WA,Beer and Wine
F,M,CA,Vegetables
F,M,CA,Pure Juice Beverages
F,S,OR,Vegetables
M,S,CA,Vegetables
M,S,CA,Dairy
M,M,WA,Candy
F,M,CA,Vegetables
M,S,OR,Beer and Wine
F,S,CA,Canned Soup
M,S,WA,Snack Foods
F,M,CA,Candy
F,S,CA,Hot Beverages
F,M,OR,Canned Soup
F,S,CA,Fruit
M,M,CA,Frozen Entrees
F,S,CA,Meat
M,M,WA,Bathroom Products
M,M,CA,Vegetables
M,M,OR,Snack Foods
F,S,WA,Starchy Foods
F,M,WA,Vegetables
M,M,WA,Vegetables
M,M,OR,Beer and Wine
M,S,CA,Baking Goods
F,S,CA,Miscellaneous
M,S,WA,Vegetables
M,S,CA,Side Dishes
F,S,OR,Vegetables
F,S,WA,Miscellaneous
F,M,CA,Pain Relievers
F,M,OR,Meat
M,S,CA,Canned Anchovies
M,S,WA,Hygiene
M,S,WA,Starchy Foods
F,S,CA,Meat
M,S,WA,Vegetables
F,M,CA,Bathroom Products
M,S,WA,Fruit
M,M,WA,Bread
F,S,CA,Pizza
F,M,WA,Meat
F,S,WA,Snack Foods
F,S,WA,Bathroom Products
F,M,OR,Kitchen Products
F,S,CA,Fruit
M,S,OR,Beer and Wine
F,M,WA,Snack Foods
M,S,OR,Fruit
F,S,OR,Baking Goods
M,M,OR,Baking Goods
F,S,CA,Fruit
M,S,WA,Fruit
M,S,WA,Snack Foods
F,M,WA,Bread
M,M,CA,Hygiene
M,S,WA,Vegetables
F,M,WA,Starchy Foods
F,M,OR,Jams and Jellies
F,S,WA,Vegetables
M,M,CA,Snack Foods
M,M,WA,Seafood
F,M,WA,Frozen Desserts
M,M,OR,Bathroom Products
F,S,WA,Hot Beverages
M,S,CA,Snack Foods
F,M,WA,Breakfast Foods
M,M,WA,Paper Products
F,M,CA,Fruit
F,S,OR,Meat
F,M,WA,Kitchen Products
F,M,WA,Candy
F,M,WA,Dairy
F,S,WA,Canned Soup
F,S,WA,Kitchen Products
M,S,OR,Bread
M,M,WA,Snack Foods
M,S,WA,Starchy Foods
F,S,WA,Fruit
M,S,OR,Dairy
M,M,OR,Eggs
M,S,OR,Electrical
M,M,WA,Jams and Jellies
M,S,CA,Vegetables
F,M,OR,Fruit
M,S,CA,Hot Beverages
M,S,OR,Vegetables
F,S,OR,Side Dishes
M,S,OR,Vegetables
F,S,CA,Hygiene
M,S,WA,Bathroom Products
M,M,OR,Vegetables
F,S,OR,Cleaning Supplies
M,S,OR,Bread
M,M,WA,Fruit
F,M,CA,Specialty
M,M,CA,Miscellaneous
M,S,OR,Breakfast Foods
M,M,CA,Baking Goods
M,M,WA,Bathroom Products
M,S,WA,Snack Foods
M,M,CA,Fruit
M,M,WA,Specialty
F,M,WA,Vegetables
F,M,OR,Fruit
F,M,CA,Vegetables
M,S,WA,Dairy
M,M,WA,Carbonated Beverages
M,S,OR,Canned Soup
F,S,OR,Kitchen Products
M,S,WA,Snack Foods
M,S,OR,Jams and Jellies
F,M,WA,Snack Foods
M,S,WA,Pizza
F,M,WA,Vegetables
M,S,OR,Snack Foods
M,S,OR,Paper Products
F,M,WA,Specialty
F,S,OR,Vegetables
M,M,OR,Hygiene
F,M,CA,Snack Foods
F,S,CA,Pure Juice Beverages
M,S,CA,Bread
M,S,WA,Baking Goods
F,S,WA,Vegetables
M,S,WA,Candy
F,M,WA,Hot Beverages
M,S,CA,Hygiene
F,M,CA,Starchy Foods
F,S,OR,Meat
M,S,WA,Plastic Products
F,M,CA,Snack Foods
F,S,WA,Canned Soup
F,S,WA,Cleaning Supplies
M,S,OR,Bathroom Products
M,S,WA,Snack Foods
F,S,OR,Snack Foods
M,M,WA,Vegetables
F,M,WA,Breakfast Foods
M,M,OR,Jams and Jellies
F,S,OR,Vegetables
M,M,WA,Candles
M,S,WA,Dairy
F,S,WA,Breakfast Foods
F,M,WA,Magazines
M,M,OR,Hygiene
M,M,WA,Snack Foods
M,M,WA,Meat
F,S,WA,Snack Foods
M,M,OR,Jams and Jellies
M,S,OR,Starchy Foods
M,S,WA,Jams and Jellies
F,S,WA,Snack Foods
F,M,WA,Snack Foods
M,S,CA,Breakfast Foods
M,M,WA,Snack Foods
M,S,WA,Snack Foods
M,M,WA,Fruit
M,S,WA,Snack Foods
F,S,OR,Snack Foods
M,S,OR,Hygiene
F,S,WA,Snack Foods
M,M,CA,Specialty
F,S,CA,Jams and Jellies
F,S,OR,Cleaning Supplies
M,S,WA,Starchy Foods
F,S,WA,Dairy
M,S,CA,Snack Foods
M,S,CA,Fruit
F,M,WA,Dairy
F,S,WA,Fruit
F,S,WA,Bathroom Products
F,M,OR,Fruit
M,S,CA,Dairy
F,S,CA,Cold Remedies
M,S,WA,Carbonated Beverages
M,M,CA,Paper Products
F,S,WA,Dairy
F,M,WA,Frozen Desserts
F,S,OR,Canned Soup
F,S,OR,Bread
M,S,CA,Fruit
F,M,OR,Canned Tuna
F,S,WA,Decongestants
F,M,WA,Bathroom Products
F,M,WA,Jams and Jellies
F,M,CA,Candy
F,S,OR,Baking Goods
M,M,CA,Magazines
F,M,WA,Paper Products
F,M,WA,Electrical
M,S,WA,Electrical
F,M,OR,Cleaning Supplies
F,M,OR,Meat
M,M,CA,Frozen Desserts
F,M,CA,Hot Beverages
F,S,OR,Candy
M,M,CA,Vegetables
M,M,WA,Side Dishes
F,S,OR,Drinks
F,S,WA,Canned Soup
M,M,WA,Starchy Foods
F,M,WA,Canned Sardines
M,S,WA,Bread
F,S,CA,Cold Remedies
M,M,OR,Meat
F,M,OR,Candy
F,M,WA,Pure Juice Beverages
M,M,OR,Kitchen Products
M,M,WA,Side Dishes
F,M,WA,Bread
M,S,WA,Snack Foods
M,M,WA,Fruit
F,M,OR,Bread
M,M,CA,Candles
M,M,OR,Snack Foods
F,M,OR,Hygiene
F,S,WA,Beer and Wine
M,M,CA,Frozen Entrees
M,S,OR,Hot Beverages
F,M,OR,Kitchen Products
M,S,WA,Snack Foods
M,M,WA,Vegetables
M,S,WA,Dairy
M,M,CA,Cleaning Supplies
M,M,WA,Bathroom Products
M,S,OR,Canned Anchovies
M,M,WA,Canned Soup
M,S,OR,Vegetables
F,M,OR,Bread
M,S,OR,Canned Anchovies
F,S,CA,Meat
M,M,WA,Hardware
F,S,OR,Kitchen Products
M,S,WA,Pain Relievers
M,M,CA,Vegetables
F,S,CA,Bathroom Products
M,S,WA,Snack Foods
M,S,OR,Baking Goods
M,M,WA,Snack Foods
M,M,OR,Fruit
F,S,WA,Magazines
F,M,WA,Decongestants
M,M,WA,Cleaning Supplies
M,M,OR,Kitchen Products
F,M,OR,Vegetables
M,M,OR,Candy
M,M,OR,Snack Foods
F,M,WA,Bathroom Products
M,M,CA,Dairy
F,M,OR,Paper Products
F,S,WA,Drinks
F,S,WA,Bathroom Products
F,S,OR,Vegetables
F,S,CA,Breakfast Foods
F,M,WA,Seafood
M,M,WA,Vegetables
M,S,OR,Pizza
M,S,OR,Hot Beverages
M,S,OR,Fruit
F,S,WA,Baking Goods
M,S,CA,Drinks
M,S,OR,Snack Foods
M,S,WA,Baking Goods
F,M,WA,Vegetables
F,M,WA,Jams and Jellies
M,M,CA,Vegetables
M,M,WA,Bathroom Products
M,S,OR,Snack Foods
M,S,OR,Jams and Jellies
M,S,OR,Dairy
F,M,WA,Snack Foods
F,M,WA,Snack Foods
F,S,WA,Seafood
F,S,OR,Canned Soup
M,M,WA,Vegetables
M,S,WA,Specialty
M,S,OR,Hygiene
F,M,OR,Starchy Foods
F,S,OR,Breakfast Foods
M,M,WA,Electrical
M,M,OR,Vegetables
F,M,CA,Frozen Desserts
F,S,CA,Frozen Desserts
M,M,CA,Snack Foods
M,S,WA,Dairy
F,M,WA,Hot Beverages
M,M,WA,Dairy
F,M,WA,Seafood
M,S,CA,Canned Shrimp
M,M,OR,Bread
M,M,WA,Baking Goods
M,M,WA,Pure Juice Beverages
F,M,OR,Snack Foods
M,M,WA,Vegetables
F,M,WA,Breakfast Foods
F,S,OR,Hot Beverages
M,S,WA,Vegetables
M,S,OR,Pain Relievers
M,M,WA,Snack Foods
F,S,CA,Canned Sardines
M,S,OR,Carbonated Beverages
M,M,OR,Fruit
F,M,WA,Fruit
F,S,CA,Candy
M,M,WA,Dairy
F,M,WA,Frozen Desserts
M,S,CA,Meat
M,S,WA,Vegetables
M,M,WA,Fruit
M,M,WA,Pure Juice Beverages
M,S,WA,Snack Foods
F,M,OR,Meat
F,M,CA,Vegetables
M,M,OR,Candy
F,S,WA,Vegetables
M,M,WA,Breakfast Foods
M,S,WA,Snack Foods
F,S,CA,Hardware
M,S,OR,Dairy
F,S,OR,Canned Soup
M,S,CA,Vegetables
M,M,WA,Meat
F,S,WA,Bathroom Products
F,S,WA,Snack Foods
M,S,OR,Bathroom Products
M,M,OR,Magazines
M,S,OR,Paper Products
M,M,WA,Baking Goods
F,S,CA,Snack Foods
F,M,WA,Bathroom Products
M,S,CA,Breakfast Foods
F,M,WA,Vegetables
F,S,WA,Snack Foods
F,S,CA,Fruit
M,M,WA,Canned Clams
F,S,CA,Pizza
F,M,WA,Hot Beverages
M,S,WA,Breakfast Foods
F,S,CA,Frozen Desserts
F,M,CA,Paper Products
M,S,OR,Starchy Foods
M,M,OR,Kitchen Products
F,M,CA,Candy
M,S,CA,Drinks
M,M,WA,Dairy
F,S,WA,Cold Remedies
M,S,OR,Jams and Jellies
F,S,WA,Canned Tuna
M,S,CA,Meat
M,S,OR,Drinks
M,M,WA,Dairy
M,S,WA,Cleaning Supplies
M,S,WA,Fruit
F,S,OR,Canned Sardines
M,M,CA,Bathroom Products
M,M,WA,Kitchen Products
M,M,CA,Baking Goods
F,M,CA,Dairy
F,S,WA,Side Dishes
F,S,CA,Beer and Wine
M,S,CA,Bread
M,S,WA,Beer and Wine
F,M,CA,Snack Foods
F,M,CA,Cleaning Supplies
M,M,OR,Snack Foods
M,M,OR,Candles
F,M,WA,Paper Products
F,M,WA,Snack Foods
F,M,WA,Snack Foods
F,S,OR,Candy
M,M,CA,Cold Remedies
M,S,CA,Meat
F,S,WA,Canned Soup
M,M,WA,Starchy Foods
F,M,WA,Frozen Desserts
F,S,OR,Candy
F,M,CA,Specialty
F,M,WA,Snack Foods
M,M,WA,Cleaning Supplies
M,S,CA,Specialty
M,S,OR,Snack Foods
M,S,WA,Bathroom Products
M,S,CA,Bread
F,M,OR,Bathroom Products
F,S,WA,Bathroom Products
F,S,CA,Vegetables
F,S,WA,Paper Products
M,S,OR,Vegetables
F,M,OR,Vegetables
M,S,OR,Snack Foods
F,S,OR,Meat
M,S,WA,Hygiene
F,S,CA,Snack Foods
F,M,CA,Frozen Desserts
F,S,OR,Hot Beverages
F,M,WA,Vegetables
M,S,OR,Canned Clams
M,S,OR,Breakfast Foods
F,S,WA,Snack Foods
F,S,OR,Dairy
M,S,WA,Canned Oysters
M,S,WA,Canned Soup
M,S,CA,Bread
F,S,OR,Canned Clams
M,S,WA,Fruit
F,S,CA,Fruit
M,S,CA,Dairy
M,M,WA,Snack Foods
M,M,WA,Snack Foods
F,S,WA,Bathroom Products
M,M,WA,Vegetables
M,M,OR,Fruit
F,M,OR,Canned Soup
M,S,OR,Specialty
M,M,OR,Paper Products
M,S,OR,Jams and Jellies
F,S,WA,Vegetables
F,M,WA,Baking Goods
F,M,CA,Dairy
F,M,OR,Vegetables
M,M,WA,Breakfast Foods
F,M,OR,Vegetables
M,M,CA,Bread
F,S,CA,Fruit
F,S,WA,Vegetables
F,M,CA,Hygiene
F,S,WA,Vegetables
F,S,OR,Meat
F,M,CA,Pure Juice Beverages
M,M,OR,Frozen Desserts
F,S,WA,Snack Foods
F,S,CA,Plastic Products
F,S,CA,Candles
M,S,OR,Meat
F,M,WA,Vegetables
F,M,OR,Snack Foods
F,S,OR,Canned Tuna
M,S,OR,Bathroom Products
M,S,WA,Beer and Wine
F,M,WA,Meat
M,M,OR,Beer and Wine
M,M,WA,Hardware
M,S,CA,Bread
M,S,CA,Fruit
M,M,CA,Snack Foods
M,S,WA,Jams and Jellies
M,M,WA,Baking Goods
F,M,CA,Jams and Jellies
F,S,OR,Fruit
F,M,CA,Cold Remedies
M,S,CA,Hygiene
F,S,CA,Bathroom Products
F,M,WA,Snack Foods
F,M,OR,Vegetables
M,S,OR,Dairy
F,S,OR,Fruit
F,M,CA,Snack Foods
M,S,CA,Eggs
M,S,WA,Canned Soup
F,S,WA,Fruit
M,S,OR,Paper Products
M,S,WA,Cleaning Supplies
F,S,CA,Electrical
M,S,CA,Fruit
F,M,OR,Canned Soup
F,M,WA,Snack Foods
F,M,OR,Dairy
M,S,WA,Canned Soup
F,S,WA,Snack Foods
M,M,WA,Snack Foods
M,S,WA,Snack Foods
F,M,CA,Drinks
F,M,WA,Vegetables
F,S,OR,Snack Foods
M,S,OR,Dairy
M,S,WA,Hot Beverages
F,M,CA,Meat
F,S,WA,Bread
F,S,OR,Frozen Entrees
F,M,WA,Fruit
M,S,OR,Canned Soup
M,S,WA,Specialty
F,S,CA,Hygiene
F,M,WA,Hygiene
M,S,WA,Vegetables
M,S,OR,Vegetables
M,S,OR,Baking Goods
F,M,WA,Meat
M,S,WA,Paper Products
F,S,WA,Vegetables
M,M,WA,Beer and Wine
F,S,OR,Canned Tuna
M,M,WA,Frozen Desserts
M,S,OR,Snack Foods
F,S,OR,Cleaning Supplies
M,M,WA,Canned Soup
M,S,CA,Breakfast Foods
F,S,CA,Cleaning Supplies
F,M,WA,Side Dishes
F,M,OR,Vegetables
F,S,OR,Electrical
F,S,CA,Cleaning Supplies
F,S,OR,Starchy Foods
F,S,WA,Vegetables
M,M,CA,Electrical
F,M,WA,Breakfast Foods
F,M,CA,Hardware
M,M,WA,Plastic Products
M,M,WA,Cleaning Supplies
F,M,WA,Snack Foods
F,S,WA,Snack Foods
M,M,CA,Vegetables
M,M,WA,Candy
F,S,OR,Vegetables
M,M,OR,Vegetables
F,M,OR,Jams and Jellies
M,M,OR,Meat
M,S,WA,Vegetables
F,M,OR,Bathroom Products
M,M,WA,Baking Goods
M,M,WA,Snack Foods
M,S,WA,Meat
M,S,OR,Candles
M,S,WA,Vegetables
F,M,WA,Canned Oysters
F,S,OR,Miscellaneous
M,M,WA,Beer and Wine
M,M,CA,Snack Foods
M,M,WA,Magazines
F,M,WA,Vegetables
F,S,OR,Starchy Foods
F,M,WA,Pizza
F,S,WA,Snack Foods
F,S,WA,Dairy
M,S,CA,Meat
F,M,OR,Pure Juice Beverages
M,S,WA,Specialty
M,S,WA,Packaged Vegetables
F,M,WA,Pain Relievers
M,M,OR,Snack Foods
M,M,WA,Snack Foods
F,M,CA,Paper Products
M,S,WA,Vegetables
M,M,WA,Vegetables
F,S,CA,Meat
M,M,WA,Kitchen Products
F,S,CA,Vegetables
F,S,CA,Breakfast Foods
M,S,CA,Magazines
F,S,OR,Bathroom Products
F,S,OR,Fruit
F,S,CA,Cold Remedies
M,S,CA,Breakfast Foods
M,M,OR,Snack Foods
F,M,WA,Specialty
F,S,WA,Vegetables
F,M,WA,Candy
F,S,WA,Vegetables
F,S,WA,Snack Foods
M,S,CA,Electrical
M,M,CA,Bread
M,S,WA,Pizza
M,M,WA,Starchy Foods
F,S,WA,Bathroom Products
M,S,WA,Snack Foods
M,M,WA,Pain Relievers
M,S,CA,Fruit
F,S,WA,Cleaning Supplies
M,M,CA,Dairy
F,M,WA,Hot Beverages
M,M,OR,Meat
M,M,WA,Electrical
F,S,WA,Pizza
M,S,WA,Dairy
M,M,OR,Paper Products
F,S,WA,Specialty
F,M,OR,Baking Goods
F,M,WA,Fruit
F,S,WA,Meat
F,M,CA,Jams and Jellies
F,M,WA,Snack Foods
M,S,WA,Carbonated Beverages
M,M,OR,Vegetables
M,S,WA,Frozen Desserts
M,S,WA,Jams and Jellies
M,M,WA,Beer and Wine
F,M,WA,Meat
M,S,WA,Vegetables
M,M,CA,Frozen Entrees
F,S,WA,Vegetables
M,S,CA,Breakfast Foods
M,M,CA,Paper Products
M,S,WA,Snack Foods
F,S,CA,Vegetables
M,S,OR,Snack Foods
M,S,WA,Canned Soup
F,M,CA,Bread
F,S,CA,Fruit
F,M,WA,Baking Goods
F,S,WA,Pain Relievers
M,S,OR,Fruit
M,M,OR,Paper Products
M,S,WA,Magazines
F,S,CA,Decongestants
F,M,OR,Snack Foods
F,S,OR,Seafood
M,M,CA,Meat
M,S,OR,Vegetables
F,S,CA,Canned Soup
M,M,CA,Hot Beverages
F,S,OR,Snack Foods
M,M,WA,Specialty
M,M,OR,Fruit
M,S,WA,Vegetables
F,M,WA,Beer and Wine
F,S,WA,Baking Goods
M,S,WA,Plastic Products
M,S,CA,Bread
M,M,OR,Snack Foods
F,S,CA,Snack Foods
F,M,OR,Fruit
M,S,CA,Vegetables
F,S,OR,Snack Foods
F,M,CA,Vegetables
F,S,CA,Dairy
F,M,CA,Kitchen Products
F,S,CA,Vegetables
F,S,CA,Vegetables
F,M,OR,Snack Foods
F,M,WA,Meat
M,S,WA,Meat
F,S,CA,Drinks
F,S,WA,Breakfast Foods
F,S,OR,Snack Foods
M,S,WA,Snack Foods
M,M,OR,Dairy
F,M,OR,Baking Goods
F,S,OR,Canned Soup
F,M,OR,Bread
M,M,CA,Fruit
F,S,CA,Specialty
F,S,CA,Jams and Jellies
M,S,OR,Vegetables
F,M,WA,Pure Juice Beverages
F,S,WA,Beer and Wine
F,S,OR,Frozen Desserts
F,S,CA,Vegetables
M,S,WA,Snack Foods
M,S,OR,Dairy
F,S,WA,Meat
M,S,CA,Paper Products
M,M,WA,Snack Foods
F,M,CA,Breakfast Foods
F,M,OR,Cold Remedies
M,M,WA,Snack Foods
M,S,WA,Side Dishes
M,S,OR,Baking Goods
M,M,CA,Dairy
F,S,OR,Vegetables
F,M,WA,Snack Foods
F,M,OR,Snack Foods
F,S,CA,Vegetables
M,S,CA,Magazines
M,S,OR,Frozen Entrees
M,S,CA,Dairy
F,S,OR,Hygiene
F,M,OR,Kitchen Products
F,M,CA,Cleaning Supplies
M,M,CA,Eggs
M,S,WA,Snack Foods
F,M,OR,Hot Beverages
F,S,OR,Miscellaneous
M,S,OR,Candy
M,S,CA,Candy
M,S,OR,Canned Soup
M,M,CA,Jams and Jellies
F,M,OR,Bread
F,M,OR,Candy
F,M,WA,Canned Soup
F,M,CA,Dairy
F,S,WA,Frozen Desserts
M,S,WA,Hygiene
F,M,WA,Frozen Desserts
M,M,OR,Cold Remedies
F,S,CA,Snack Foods
M,S,WA,Breakfast Foods
F,S,WA,Candy
M,S,WA,Electrical
F,M,WA,Bread
M,M,WA,Snack Foods
F,S,WA,Pain Relievers
F,M,OR,Fruit
M,M,WA,Vegetables
M,M,CA,Frozen Entrees
F,M,CA,Paper Products
M,M,OR,Bathroom Products
F,S,CA,Meat
M,M,WA,Beer and Wine
M,S,OR,Vegetables
M,M,OR,Baking Goods
M,S,WA,Baking Goods
M,S,WA,Jams and Jellies
M,S,WA,Specialty
F,M,WA,Magazines
M,M,WA,Carbonated Beverages
M,M,OR,Jams and Jellies
M,M,OR,Snack Foods
F,M,WA,Snack Foods
M,M,CA,Vegetables
M,M,OR,Dairy
M,S,WA,Hygiene
M,M,WA,Paper Products
F,M,WA,Meat
F,M,WA,Snack Foods
F,S,WA,Vegetables
M,M,CA,Vegetables
M,S,WA,Vegetables
F,M,OR,Canned Soup
M,S,OR,Drinks
M,M,WA,Dairy
F,M,OR,Jams and Jellies
F,S,CA,Seafood
F,S,OR,Kitchen Products
M,S,WA,Pain Relievers
F,S,OR,Pizza
F,S,WA,Dairy
F,M,WA,Snack Foods
M,M,WA,Fruit
M,M,WA,Canned Soup
F,M,WA,Baking Goods
