Region,Fresh,Milk,Grocery,Channel,Frozen,Detergents_Paper,Delicassen
Other,9396,11601,15775,Retail,2896,7677,1295
Other,4760,1227,3250,Horeca,3724,1247,1145
Other,85,20959,45828,Retail,36,24231,1423
Other,9,1534,7417,Horeca,175,3468,27
Other,19913,6759,13462,Retail,1256,5141,834
Other,2446,7260,3993,Horeca,5870,788,3095
Other,8352,2820,1293,Horeca,779,656,144
Other,16705,2037,3202,Horeca,10643,116,1365
Other,18291,1266,21042,Horeca,5373,4173,14472
Other,4420,5139,2661,Horeca,8872,1321,181
Other,19899,5332,8713,Retail,8132,764,648
Other,8190,6343,9794,Retail,1285,1901,1780
Other,20398,1137,3,Horeca,4407,3,975
Other,717,3587,6532,Horeca,7530,529,894
Other,12205,12697,28540,Retail,869,12034,1009
Other,10766,1175,2067,Horeca,2096,301,167
Other,1640,3259,3655,Horeca,868,1202,1653
Other,7005,829,3009,Horeca,430,610,529
Other,219,9540,14403,Retail,283,7818,156
Other,10362,9232,11009,Retail,737,3537,2342
Other,20874,1563,1783,Horeca,2320,550,772
Other,11867,3327,4814,Retail,1178,3837,120
Other,16117,46197,92780,Retail,1026,40827,2944
Other,22925,73498,32114,Retail,987,20070,903
Other,43265,5025,8117,Horeca,6312,1579,14351
Other,7864,542,4042,Horeca,9735,165,46
Other,24904,3836,5330,Horeca,3443,454,3178
Other,11405,596,1638,Horeca,3347,69,360
Other,12754,2762,2530,Horeca,8693,627,1117
Other,9198,27472,32034,Retail,3232,18906,5130
Other,11314,3090,2062,Horeca,35009,71,2698
Other,5626,12220,11323,Retail,206,5038,244
Other,3,2920,6252,Horeca,440,223,709
Other,23,2616,8118,Retail,145,3874,217
Other,403,254,610,Horeca,774,54,63
Other,503,112,778,Horeca,895,56,132
Other,9658,2182,1909,Horeca,5639,215,323
Other,11594,7779,12144,Retail,3252,8035,3029
Other,1420,10810,16267,Retail,1593,6766,1838
Other,2932,6459,7677,Retail,2561,4573,1386
Other,56082,3504,8906,Horeca,18028,1480,2498
Other,14100,2132,3445,Horeca,1336,1491,548
Other,15587,1014,3970,Horeca,910,139,1378
Other,1454,6337,10704,Retail,133,6830,1831
Other,8797,10646,14886,Retail,2471,8969,1438
Other,1531,8397,6981,Retail,247,2505,1236
Other,1406,16729,28986,Retail,673,836,3
Other,11818,1648,1694,Horeca,2276,169,1647
Other,12579,11114,17569,Retail,805,6457,1519
Other,19046,2770,2469,Horeca,8853,483,2708
Other,14438,2295,1733,Horeca,3220,585,1561
Other,18044,1080,2000,Horeca,2555,118,1266
Other,11134,793,2988,Horeca,2715,276,610
Other,11173,2521,3355,Horeca,1517,310,222
Other,6990,3880,5380,Horeca,1647,319,1160
Other,20049,1891,2362,Horeca,5343,411,933
Other,8258,2344,2147,Horeca,3896,266,635
Other,17160,1200,3412,Horeca,2417,174,1136
Other,4020,3234,1498,Horeca,2395,264,255
Other,12212,201,245,Horeca,1991,25,860
Other,11170,10769,8814,Retail,2194,1976,143
Other,36050,1642,2961,Horeca,4787,500,1621
Other,76237,3473,7102,Horeca,16538,778,918
Other,19219,1840,1658,Horeca,8195,349,483
Other,21465,7243,10685,Retail,880,2386,2749
Other,140,8847,3823,Horeca,142,1062,3
Other,42312,926,1510,Horeca,1718,410,1819
Other,7149,2428,699,Horeca,6316,395,911
Other,2101,589,314,Horeca,346,70,310
Other,14903,2032,2479,Horeca,576,955,328
Other,9434,1042,1235,Horeca,436,256,396
Other,7388,1882,2174,Horeca,720,47,537
Other,6300,1289,2591,Horeca,1170,199,326
Other,4625,8579,7030,Horeca,4575,2447,1542
Other,3087,8080,8282,Horeca,661,721,36
Other,13537,4257,5034,Horeca,155,249,3271
Other,5387,4979,3343,Horeca,825,637,929
Other,17623,4280,7305,Horeca,2279,960,2616
Other,30379,13252,5189,Horeca,321,51,1450
Other,37036,7152,8253,Horeca,2995,20,3
Other,10405,1596,1096,Horeca,8425,399,318
Other,18827,3677,1988,Horeca,118,516,201
Other,22039,8384,34792,Retail,42,12591,4430
Other,7769,1936,2177,Horeca,926,73,520
Other,9203,3373,2707,Horeca,1286,1082,526
Other,5924,584,542,Horeca,4052,283,434
Other,31812,1433,1651,Horeca,800,113,1440
Other,16225,1825,1765,Horeca,853,170,1067
Other,1289,3328,2022,Horeca,531,255,1774
Other,18840,1371,3135,Horeca,3001,352,184
Other,3463,9250,2368,Horeca,779,302,1627
Other,622,55,137,Horeca,75,7,8
Other,1989,10690,19460,Retail,233,11577,2153
Other,3830,5291,14855,Retail,317,6694,3182
Other,17773,1366,2474,Horeca,3378,811,418
Other,2861,6570,9618,Retail,930,4004,1682
Other,355,7704,14682,Retail,398,8077,303
Other,1725,3651,12822,Retail,824,4424,2157
Other,12434,540,283,Horeca,1092,3,2233
Other,15177,2024,3810,Horeca,2665,232,610
Other,5531,15726,26870,Retail,2367,13726,446
Other,5224,7603,8584,Retail,2540,3674,238
Other,15615,12653,19858,Retail,4425,7108,2379
Other,4822,6721,9170,Retail,993,4973,3637
Other,2926,3195,3268,Horeca,405,1680,693
Other,5809,735,803,Horeca,1393,79,429
Other,5414,717,2155,Horeca,2399,69,750
Other,260,8675,13430,Retail,1116,7015,323
Other,200,25862,19816,Retail,651,8773,6250
Other,955,5479,6536,Horeca,333,2840,707
Other,514,7677,19805,Retail,937,9836,716
Other,286,1208,5241,Horeca,2515,153,1442
Other,2343,7845,11874,Retail,52,4196,1697
Other,45640,6958,6536,Horeca,7368,1532,230
Other,12759,7330,4533,Horeca,1752,20,2631
Other,11002,7075,4945,Horeca,1152,120,395
Other,3157,4888,2500,Horeca,4477,273,2165
Other,12356,6036,8887,Horeca,402,1382,2794
Other,112151,29627,18148,Horeca,16745,4948,8550
Other,694,8533,10518,Horeca,443,6907,156
Other,36847,43950,20170,Horeca,36534,239,47943
Other,327,918,4710,Horeca,74,334,11
Other,8170,6448,1139,Horeca,2181,58,247
Other,3009,521,854,Horeca,3470,949,727
Other,2438,8002,9819,Horeca,6269,3459,3
Other,8040,7639,11687,Retail,2758,6839,404
Other,834,11577,11522,Retail,275,4027,1856
Other,16936,6250,1981,Horeca,7332,118,64
Other,13624,295,1381,Horeca,890,43,84
Other,5509,1461,2251,Horeca,547,187,409
Other,180,3485,20292,Retail,959,5618,666
Other,7107,1012,2974,Horeca,806,355,1142
Other,17023,5139,5230,Horeca,7888,330,1755
Lisbon,30624,7209,4897,Horeca,18711,763,2876
Lisbon,2427,7097,10391,Retail,1127,4314,1468
Lisbon,11686,2154,6824,Horeca,3527,592,697
Lisbon,9670,2280,2112,Horeca,520,402,347
Lisbon,3067,13240,23127,Retail,3941,9959,731
Lisbon,4484,14399,24708,Retail,3549,14235,1681
Lisbon,25203,11487,9490,Horeca,5065,284,6854
Lisbon,583,685,2216,Horeca,469,954,18
Lisbon,1956,891,5226,Horeca,1383,5,1328
Lisbon,1107,11711,23596,Retail,955,9265,710
Lisbon,6373,780,950,Horeca,878,288,285
Lisbon,2541,4737,6089,Retail,2946,5316,120
Lisbon,1537,3748,5838,Horeca,1859,3381,806
Lisbon,5550,12729,16767,Retail,864,12420,797
Lisbon,18567,1895,1393,Horeca,1801,244,2100
Lisbon,12119,28326,39694,Retail,4736,19410,2870
Lisbon,7291,1012,2062,Horeca,1291,240,1775
Lisbon,3317,6602,6861,Horeca,1329,3961,1215
Lisbon,2362,6551,11364,Retail,913,5957,791
Lisbon,2806,10765,15538,Horeca,1374,5828,2388
Lisbon,2532,16599,36486,Retail,179,13308,674
Lisbon,18044,1475,2046,Horeca,2532,130,1158
Lisbon,18,7504,15205,Retail,1285,4797,6372
Lisbon,4155,367,1390,Horeca,2306,86,130
Lisbon,14755,899,1382,Horeca,1765,56,749
Lisbon,5396,7503,10646,Horeca,91,4167,239
Lisbon,5041,1115,2856,Horeca,7496,256,375
Lisbon,2790,2527,5265,Retail,5612,788,1360
Lisbon,7274,659,1499,Horeca,784,70,659
Lisbon,12680,3243,4157,Horeca,660,761,786
Lisbon,20782,5921,9212,Retail,1759,2568,1553
Lisbon,4042,2204,1563,Horeca,2286,263,689
Lisbon,1869,577,572,Horeca,950,4762,203
Lisbon,8656,2746,2501,Horeca,6845,694,980
Lisbon,11072,5989,5615,Retail,8321,955,2137
Lisbon,2344,10678,3828,Horeca,1439,1566,490
Lisbon,25962,1780,3838,Horeca,638,284,834
Lisbon,964,4984,3316,Horeca,937,409,7
Lisbon,15603,2703,3833,Horeca,4260,325,2563
Lisbon,1838,6380,2824,Horeca,1218,1216,295
Lisbon,8635,820,3047,Horeca,2312,415,225
Lisbon,18692,3838,593,Horeca,4634,28,1215
Lisbon,7363,475,585,Horeca,1112,72,216
Lisbon,47493,2567,3779,Horeca,5243,828,2253
Lisbon,22096,3575,7041,Horeca,11422,343,2564
Lisbon,24929,1801,2475,Horeca,2216,412,1047
Lisbon,18226,659,2914,Horeca,3752,586,578
Lisbon,11210,3576,5119,Horeca,561,1682,2398
Lisbon,6202,7775,10817,Horeca,1183,3143,1970
Lisbon,3062,6154,13916,Retail,230,8933,2784
Lisbon,8885,2428,1777,Horeca,1777,430,610
Lisbon,13569,346,489,Horeca,2077,44,659
Lisbon,15671,5279,2406,Horeca,559,562,572
Lisbon,8040,3795,2070,Horeca,6340,918,291
Lisbon,3191,1993,1799,Horeca,1730,234,710
Lisbon,6134,23133,33586,Retail,6746,18594,5121
Lisbon,6623,1860,4740,Horeca,7683,205,1693
Lisbon,29526,7961,16966,Horeca,432,363,1391
Lisbon,10379,17972,4748,Horeca,4686,1547,3265
Lisbon,31614,489,1495,Horeca,3242,111,615
Lisbon,11092,5008,5249,Horeca,453,392,373
Lisbon,8475,1931,1883,Horeca,5004,3593,987
Lisbon,56083,4563,2124,Horeca,6422,730,3321
Lisbon,53205,4959,7336,Horeca,3012,967,818
Lisbon,9193,4885,2157,Horeca,327,780,548
Lisbon,7858,1110,1094,Horeca,6818,49,287
Lisbon,23257,1372,1677,Horeca,982,429,655
Lisbon,2153,1115,6684,Horeca,4324,2894,411
Lisbon,1073,9679,15445,Retail,61,5980,1265
Lisbon,5909,23527,13699,Horeca,10155,830,3636
Lisbon,572,9763,22182,Retail,2221,4882,2563
Lisbon,20893,1222,2576,Horeca,3975,737,3628
Lisbon,11908,8053,19847,Retail,1069,6374,698
Lisbon,15218,258,1138,Horeca,2516,333,204
Lisbon,4720,1032,975,Horeca,5500,197,56
Lisbon,2083,5007,1563,Horeca,1120,147,1550
Lisbon,514,8323,6869,Horeca,529,93,1040
Other,36817,3045,1493,Horeca,4802,210,1824
Other,894,1703,1841,Horeca,744,759,1153
Other,680,1610,223,Horeca,862,96,379
Other,27901,3749,6964,Horeca,4479,603,2503
Other,9061,829,683,Horeca,16919,621,139
Other,11693,2317,2543,Horeca,5845,274,1409
Other,17360,6200,9694,Retail,1293,3620,1721
Other,3366,2884,2431,Horeca,977,167,1104
Other,12238,7108,6235,Retail,1093,2328,2079
Other,49063,3965,4252,Horeca,5970,1041,1404
Other,25767,3613,2013,Horeca,10303,314,1384
Other,68951,4411,12609,Horeca,8692,751,2406
Other,40254,640,3600,Horeca,1042,436,18
Other,7149,2247,1242,Horeca,1619,1226,128
Other,15354,2102,2828,Horeca,8366,386,1027
Other,16260,594,1296,Horeca,848,445,258
Other,42786,286,471,Horeca,1388,32,22
Other,2708,2160,2642,Horeca,502,965,1522
Other,6022,3354,3261,Horeca,2507,212,686
Other,2838,3086,4329,Horeca,3838,825,1060
Oporto,3996,11103,12469,Retail,902,5952,741
Oporto,21273,2013,6550,Horeca,909,811,1854
Oporto,7588,1897,5234,Retail,417,2208,254
Oporto,19087,1304,3643,Horeca,3045,710,898
Oporto,8090,3199,6986,Retail,1455,3712,531
Oporto,6758,4560,9965,Retail,934,4538,1037
Oporto,444,879,2060,Horeca,264,290,259
Oporto,16448,6243,6360,Retail,824,2662,2005
Oporto,5283,13316,20399,Retail,1809,8752,172
Oporto,2886,5302,9785,Retail,364,6236,555
Oporto,2599,3688,13829,Retail,492,10069,59
Oporto,161,7460,24773,Retail,617,11783,2410
Oporto,243,12939,8852,Retail,799,3909,211
Oporto,6468,12867,21570,Retail,1840,7558,1543
Oporto,17327,2374,2842,Horeca,1149,351,925
Oporto,6987,1020,3007,Horeca,416,257,656
Oporto,918,20655,13567,Retail,1465,6846,806
Oporto,7034,1492,2405,Horeca,12569,299,1117
Oporto,29635,2335,8280,Horeca,3046,371,117
Oporto,2137,3737,19172,Retail,1274,17120,142
Oporto,9784,925,2405,Horeca,4447,183,297
Oporto,10617,1795,7647,Horeca,1483,857,1233
Oporto,1479,14982,11924,Retail,662,3891,3508
Oporto,7127,1375,2201,Horeca,2679,83,1059
Oporto,1182,3088,6114,Horeca,978,821,1637
Oporto,11800,2713,3558,Horeca,2121,706,51
Oporto,9759,25071,17645,Retail,1128,12408,1625
Oporto,1774,3696,2280,Horeca,514,275,834
Oporto,9155,1897,5167,Horeca,2714,228,1113
Oporto,15881,713,3315,Horeca,3703,1470,229
Oporto,13360,944,11593,Horeca,915,1679,573
Oporto,25977,3587,2464,Horeca,2369,140,1092
Oporto,32717,16784,13626,Horeca,60869,1272,5609
Oporto,4414,1610,1431,Horeca,3498,387,834
Oporto,542,899,1664,Horeca,414,88,522
Oporto,16933,2209,3389,Horeca,7849,210,1534
Oporto,5113,1486,4583,Horeca,5127,492,739
Oporto,9790,1786,5109,Horeca,3570,182,1043
Oporto,11223,14881,26839,Retail,1234,9606,1102
Oporto,22321,3216,1447,Horeca,2208,178,2602
Oporto,8565,4980,67298,Retail,131,38102,1215
Oporto,16823,928,2743,Retail,11559,332,3486
Oporto,27082,6817,10790,Retail,1365,4111,2139
Oporto,13970,1511,1330,Horeca,650,146,778
Oporto,9351,1347,2611,Horeca,8170,442,868
Oporto,3,333,7021,Horeca,15601,15,550
Oporto,2617,1188,5332,Horeca,9584,573,1942
Other,381,4025,9670,Retail,388,7271,1371
Other,2320,5763,11238,Retail,767,5162,2158
Other,255,5758,5923,Horeca,349,4595,1328
Other,1689,6964,26316,Retail,1456,15469,37
Other,3043,1172,1763,Horeca,2234,217,379
Other,1198,2602,8335,Horeca,402,3843,303
Other,2771,6939,15541,Retail,2693,6600,1115
Other,27380,7184,12311,Retail,2809,4621,1022
Other,3428,2380,2028,Horeca,1341,1184,665
Other,5981,14641,20521,Retail,2005,12218,445
Other,3521,1099,1997,Horeca,1796,173,995
Other,1210,10044,22294,Retail,1741,12638,3137
Other,608,1106,1533,Horeca,830,90,195
Other,117,6264,21203,Retail,228,8682,1111
Other,14039,7393,2548,Horeca,6386,1333,2341
Other,190,727,2012,Horeca,245,184,127
Other,22686,134,218,Horeca,3157,9,548
Other,37,1275,22272,Retail,137,6747,110
Other,759,18664,1660,Horeca,6114,536,4100
Other,796,5878,2109,Horeca,340,232,776
Other,19746,2872,2006,Horeca,2601,468,503
Other,4734,607,864,Horeca,1206,159,405
Other,2121,1601,2453,Horeca,560,179,712
Other,4627,997,4438,Horeca,191,1335,314
Other,2615,873,1524,Horeca,1103,514,468
Other,4692,6128,8025,Retail,1619,4515,3105
Other,9561,2217,1664,Horeca,1173,222,447
Other,3477,894,534,Horeca,1457,252,342
Other,22335,1196,2406,Horeca,2046,101,558
Other,6211,337,683,Horeca,1089,41,296
Other,39679,3944,4955,Retail,1364,523,2235
Other,20105,1887,1939,Horeca,8164,716,790
Other,3884,3801,1641,Horeca,876,397,4829
Other,15076,6257,7398,Retail,1504,1916,3113
Other,6338,2256,1668,Horeca,1492,311,686
Other,5841,1450,1162,Horeca,597,476,70
Other,3136,8630,13586,Retail,5641,4666,1426
Other,38793,3154,2648,Horeca,1034,96,1242
Other,3225,3294,1902,Horeca,282,68,1114
Other,4048,5164,10391,Retail,130,813,179
Other,28257,944,2146,Horeca,3881,600,270
Other,17770,4591,1617,Horeca,9927,246,532
Other,34454,7435,8469,Horeca,2540,1711,2893
Other,1821,1364,3450,Horeca,4006,397,361
Other,10683,21858,15400,Horeca,3635,282,5120
Other,11635,922,1614,Horeca,2583,192,1068
Other,1206,3620,2857,Horeca,1945,353,967
Other,20918,1916,1573,Horeca,1960,231,961
Other,9785,848,1172,Horeca,1677,200,406
Other,9385,1530,1422,Horeca,3019,227,684
Other,3352,1181,1328,Horeca,5502,311,1000
Other,2647,2761,2313,Horeca,907,95,1827
Other,518,4180,3600,Horeca,659,122,654
Other,23632,6730,3842,Horeca,8620,385,819
Other,12377,865,3204,Horeca,1398,149,452
Other,9602,1316,1263,Horeca,2921,841,290
Other,4515,11991,9345,Retail,2644,3378,2213
Other,11535,1666,1428,Horeca,6838,64,743
Other,11442,1032,582,Horeca,5390,74,247
Other,9612,577,935,Horeca,1601,469,375
Other,4446,906,1238,Horeca,3576,153,1014
Other,27167,2801,2128,Horeca,13223,92,1902
Other,26539,4753,5091,Horeca,220,10,340
Other,25606,11006,4604,Horeca,127,632,288
Other,18073,4613,3444,Horeca,4324,914,715
Other,6884,1046,1167,Horeca,2069,593,378
Other,25066,5010,5026,Horeca,9806,1092,960
Other,7362,12844,18683,Retail,2854,7883,553
Other,8257,3880,6407,Retail,1646,2730,344
Other,8708,3634,6100,Horeca,2349,2123,5137
Other,6633,2096,4563,Horeca,1389,1860,1892
Other,2126,3289,3281,Horeca,1535,235,4365
Other,97,3605,12400,Horeca,98,2970,62
Other,4983,4859,6633,Horeca,17866,912,2435
Other,5969,1990,3417,Horeca,5679,1135,290
Other,7842,6046,8552,Retail,1691,3540,1874
Other,4389,10940,10908,Retail,848,6728,993
Other,5065,5499,11055,Horeca,364,3485,1063
Other,660,8494,18622,Retail,133,6740,776
Other,8861,3783,2223,Horeca,633,1580,1521
Other,4456,5266,13227,Horeca,25,6818,1393
Other,17063,4847,9053,Retail,1031,3415,1784
Other,26400,1377,4172,Horeca,830,948,1218
Other,17565,3686,4657,Retail,1059,1803,668
Other,16980,2884,12232,Retail,874,3213,249
Other,11243,2408,2593,Horeca,15348,108,1886
Other,13134,9347,14316,Horeca,3141,5079,1894
Other,31012,16687,5429,Horeca,15082,439,1163
Other,3047,5970,4910,Horeca,2198,850,317
Other,8607,1750,3580,Horeca,47,84,2501
Other,3097,4230,16483,Horeca,575,241,2080
Other,8533,5506,5160,Horeca,13486,1377,1498
Other,21117,1162,4754,Horeca,269,1328,395
Other,1982,3218,1493,Horeca,1541,356,1449
Other,16731,3922,7994,Horeca,688,2371,838
Other,29703,12051,16027,Horeca,13135,182,2204
Other,39228,1431,764,Horeca,4510,93,2346
Other,14531,15488,30243,Retail,437,14841,1867
Other,10290,1981,2232,Horeca,1038,168,2125
Other,2787,1698,2510,Horeca,65,477,52
